NPA,median_age_of_residents_2022,high_speed_internet_access_2022,employment_2022,single_family_housing_2022_Raw,residential_occupancy_2022,home_ownership_2022,vacant_land_in_acres_2022,proximity_to_public_transportation_2022,street_connectivity_index_2022,proximity_to_school_age_care_2022,proximity_to_early_care_and_education_2022
71,32,64.8%,89.7%,203,97.3%,23.8%,8,1406,1,1406,1406
72,32,98.2%,100%,254,87.1%,28.4%,279,787,2,0,0
73,35,74.5%,96.6%,1480,98.8%,77.6%,1205,29,1,601,532
74,45,93.2%,90.1%,172,91.5%,69.5%,2,740,1,304,0
75,43,93.2%,99.3%,265,81.7%,68.5%,6,0,1,1113,1027
76,38,95.3%,90.6%,1268,95%,86.9%,125,90,1,403,722
77,27,84.2%,92.8%,1047,93.6%,38.5%,267,1233,1,2178,2190
78,33,94%,89.5%,426,96.4%,65.7%,21,1032,1,1063,1063
79,27,36%,93.4%,0,94%,6.5%,1,679,1,679,679
80,30,96%,100%,19,92.4%,24.7%,362,1281,2,1059,1059
81,40,93.4%,85.5%,280,96%,91.9%,16,526,1,547,531
82,38,83.2%,97.8%,436,94.3%,51.9%,46,1020,1,1145,1145
83,29,75.5%,89.3%,299,93.6%,39.3%,1332,0,1,12,78
84,57,84.2%,100%,210,69.2%,62.9%,1163,472,2,480,32
85,44,55.9%,96.5%,623,81.3%,31.4%,24,762,1,762,762
86,29,81.9%,87.4%,43,93.6%,5.8%,1,2276,1,2276,2228
87,41,80.7%,100%,324,70.5%,49.6%,5,718,1,714,714
88,40,44.2%,85%,488,97%,75.6%,43,540,1,540,540
89,36,67.9%,94.2%,548,100%,59.4%,17,543,1,541,541
90,35,69.6%,95.3%,337,88.1%,22.5%,7,827,1,424,424
91,30,77.6%,87.2%,695,92.4%,56.5%,12,568,1,839,839
92,30,76.7%,92.4%,8,87.5%,14.9%,55,1947,1,1629,1629
93,30,70.3%,90.1%,2,90.9%,0%,148,486,2,484,486
94,29,65.6%,90.8%,355,93.2%,69.3%,108,530,1,306,306
95,31,97%,93%,355,95.6%,56.8%,6,496,1,604,604
96,29,84.5%,97.1%,622,100%,46.1%,112,2123,1,2172,2172
97,36,86.7%,97.2%,917,88.5%,58.6%,6,1318,1,850,850
98,35,88.1%,99.3%,1270,98.9%,85.1%,410,1019,1,808,807
99,36,80.6%,95.1%,650,100%,75.6%,14,617,1,579,579
100,30,56.9%,84.4%,441,94.2%,57.5%,19,699,1,699,679
101,31,45.5%,95.5%,94,79%,11.1%,6,727,1,727,727
102,32,67.8%,88.1%,329,82.7%,43.3%,6,536,1,536,536
103,30,69.3%,94.5%,227,85%,16.2%,10,807,1,748,748
105,33,91.3%,97.6%,246,96.2%,87.3%,7,950,1,998,998
106,35,56.2%,98.6%,39,78.8%,2.7%,2,730,1,730,719
107,35,84.4%,98.1%,25,100%,17.6%,5,651,1,644,644
108,32,92.4%,96.3%,473,100%,56.6%,102,328,1,534,562
109,45,93.2%,94.5%,655,88.3%,69.4%,167,690,1,0,124
110,33,81.5%,94%,516,94.4%,42.3%,266,978,1,0,0
111,35,93.3%,93.2%,1341,98%,48.6%,57,1589,1,243,1368
112,37,87.5%,96.4%,667,94.2%,74.5%,487,0,1,250,325
113,33,87.7%,97.6%,1807,91.8%,71.6%,259,75,1,1563,1563
114,24,55.3%,74.3%,184,84.3%,8.9%,111,463,1,456,416
115,41,97.6%,93.9%,1409,95.7%,68.2%,12,0,1,1554,1554
